-DOCSTART-	XX

SOCCER	XX
-	XX
JAPAN	XX
GET	XX
LUCKY	XX
WIN	XX
,	XX
CHINA	XX
IN	XX
SURPRISE	XX
DEFEAT	XX
.	XX

Nadim	XX
Ladki	XX

AL-AIN	XX
,	XX
United	XX
Arab	XX
Emirates	XX
1996-12-06	XX

Japan	XX
began	XX
the	XX
defence	XX
of	XX
their	XX
Asian	XX
Cup	XX
title	XX
with	XX
a	XX
lucky	XX
2-1	XX
win	XX
against	XX
Syria	XX
in	XX
a	XX
Group	XX
C	XX
championship	XX
match	XX
on	XX
Friday	XX
.	XX

But	XX
China	XX
saw	XX
their	XX
luck	XX
desert	XX
them	XX
in	XX
the	XX
second	XX
match	XX
of	XX
the	XX
group	XX
,	XX
crashing	XX
to	XX
a	XX
surprise	XX
2-0	XX
defeat	XX
to	XX
newcomers	XX
Uzbekistan	XX
.	XX

China	XX
controlled	XX
most	XX
of	XX
the	XX
match	XX
and	XX
saw	XX
several	XX
chances	XX
missed	XX
until	XX
the	XX
78th	XX
minute	XX
when	XX
Uzbek	XX
striker	XX
Igor	XX
Shkvyrin	XX
took	XX
advantage	XX
of	XX
a	XX
misdirected	XX
defensive	XX
header	XX
to	XX
lob	XX
the	XX
ball	XX
over	XX
the	XX
advancing	XX
Chinese	XX
keeper	XX
and	XX
into	XX
an	XX
empty	XX
net	XX
.	XX

Oleg	XX
Shatskiku	XX
made	XX
sure	XX
of	XX
the	XX
win	XX
in	XX
injury	XX
time	XX
,	XX
hitting	XX
an	XX
unstoppable	XX
left	XX
foot	XX
shot	XX
from	XX
just	XX
outside	XX
the	XX
area	XX
.	XX

The	XX
former	XX
Soviet	XX
republic	XX
was	XX
playing	XX
in	XX
an	XX
Asian	XX
Cup	XX
finals	XX
tie	XX
for	XX
the	XX
first	XX
time	XX
.	XX

Despite	XX
winning	XX
the	XX
Asian	XX
Games	XX
title	XX
two	XX
years	XX
ago	XX
,	XX
Uzbekistan	XX
are	XX
in	XX
the	XX
finals	XX
as	XX
outsiders	XX
.	XX

Two	XX
goals	XX
from	XX
defensive	XX
errors	XX
in	XX
the	XX
last	XX
six	XX
minutes	XX
allowed	XX
Japan	XX
to	XX
come	XX
from	XX
behind	XX
and	XX
collect	XX
all	XX
three	XX
points	XX
from	XX
their	XX
opening	XX
meeting	XX
against	XX
Syria	XX
.	XX

Takuya	XX
Takagi	XX
scored	XX
the	XX
winner	XX
in	XX
the	XX
88th	XX
minute	XX
,	XX
rising	XX
to	XX
head	XX
a	XX
Hiroshige	XX
Yanagimoto	XX
cross	XX
towards	XX
the	XX
Syrian	XX
goal	XX
which	XX
goalkeeper	XX
Salem	XX
Bitar	XX
appeared	XX
to	XX
have	XX
covered	XX
but	XX
then	XX
allowed	XX
to	XX
slip	XX
into	XX
the	XX
net	XX
.	XX

It	XX
was	XX
the	XX
second	XX
costly	XX
blunder	XX
by	XX
Syria	XX
in	XX
four	XX
minutes	XX
.	XX

Defender	XX
Hassan	XX
Abbas	XX
rose	XX
to	XX
intercept	XX
a	XX
long	XX
ball	XX
into	XX
the	XX
area	XX
in	XX
the	XX
84th	XX
minute	XX
but	XX
only	XX
managed	XX
to	XX
divert	XX
it	XX
into	XX
the	XX
top	XX
corner	XX
of	XX
Bitar	XX
's	XX
goal	XX
.	XX

Nader	XX
Jokhadar	XX
had	XX
given	XX
Syria	XX
the	XX
lead	XX
with	XX
a	XX
well-struck	XX
header	XX
in	XX
the	XX
seventh	XX
minute	XX
.	XX

Japan	XX
then	XX
laid	XX
siege	XX
to	XX
the	XX
Syrian	XX
penalty	XX
area	XX
for	XX
most	XX
of	XX
the	XX
game	XX
but	XX
rarely	XX
breached	XX
the	XX
Syrian	XX
defence	XX
.	XX

Bitar	XX
pulled	XX
off	XX
fine	XX
saves	XX
whenever	XX
they	XX
did	XX
.	XX

Japan	XX
coach	XX
Shu	XX
Kamo	XX
said	XX
:	XX
'	XX
'	XX
The	XX
Syrian	XX
own	XX
goal	XX
proved	XX
lucky	XX
for	XX
us	XX
.	XX

The	XX
Syrians	XX
scored	XX
early	XX
and	XX
then	XX
played	XX
defensively	XX
and	XX
adopted	XX
long	XX
balls	XX
which	XX
made	XX
it	XX
hard	XX
for	XX
us	XX
.	XX
'	XX

'	XX

Japan	XX
,	XX
co-hosts	XX
of	XX
the	XX
World	XX
Cup	XX
in	XX
2002	XX
and	XX
ranked	XX
20th	XX
in	XX
the	XX
world	XX
by	XX
FIFA	XX
,	XX
are	XX
favourites	XX
to	XX
regain	XX
their	XX
title	XX
here	XX
.	XX

Hosts	XX
UAE	XX
play	XX
Kuwait	XX
and	XX
South	XX
Korea	XX
take	XX
on	XX
Indonesia	XX
on	XX
Saturday	XX
in	XX
Group	XX
A	XX
matches	XX
.	XX

All	XX
four	XX
teams	XX
are	XX
level	XX
with	XX
one	XX
point	XX
each	XX
from	XX
one	XX
game	XX
.	XX

-DOCSTART-	XX

RUGBY	XX
UNION	XX
-	XX
CUTTITTA	XX
BACK	XX
FOR	XX
ITALY	XX
AFTER	XX
A	XX
YEAR	XX
.	XX

ROME	XX
1996-12-06	XX

Italy	XX
recalled	XX
Marcello	XX
Cuttitta	XX

on	XX
Friday	XX
for	XX
their	XX
friendly	XX
against	XX
Scotland	XX
at	XX
Murrayfield	XX
more	XX
than	XX
a	XX
year	XX
after	XX
the	XX
30-year-old	XX
wing	XX
announced	XX
he	XX
was	XX
retiring	XX
following	XX
differences	XX
over	XX
selection	XX
.	XX

Cuttitta	XX
,	XX
who	XX
trainer	XX
George	XX
Coste	XX
said	XX
was	XX
certain	XX
to	XX
play	XX
on	XX
Saturday	XX
week	XX
,	XX
was	XX
named	XX
in	XX
a	XX
21-man	XX
squad	XX
lacking	XX
only	XX
two	XX
of	XX
the	XX
team	XX
beaten	XX
54-21	XX
by	XX
England	XX
at	XX
Twickenham	XX
last	XX
month	XX
.	XX

Stefano	XX
Bordon	XX
is	XX
out	XX
through	XX
illness	XX
and	XX
Coste	XX
said	XX
he	XX
had	XX
dropped	XX
back	XX
row	XX
Corrado	XX
Covi	XX
,	XX
who	XX
had	XX
been	XX
recalled	XX
for	XX
the	XX
England	XX
game	XX
after	XX
five	XX
years	XX
out	XX
of	XX
the	XX
national	XX
team	XX
.	XX

Cuttitta	XX
announced	XX
his	XX
retirement	XX
after	XX
the	XX
1995	XX
World	XX
Cup	XX
,	XX
where	XX
he	XX
took	XX
issue	XX
with	XX
being	XX
dropped	XX
from	XX
the	XX
Italy	XX
side	XX
that	XX
faced	XX
England	XX
in	XX
the	XX
pool	XX
stages	XX
.	XX

Coste	XX
said	XX
he	XX
had	XX
approached	XX
the	XX
player	XX
two	XX
months	XX
ago	XX
about	XX
a	XX
comeback	XX
.	XX

"	XX
He	XX
ended	XX
the	XX
World	XX
Cup	XX
on	XX
the	XX
wrong	XX
note	XX
,	XX
"	XX
Coste	XX
said	XX
.	XX

"	XX
I	XX
thought	XX
it	XX
would	XX
be	XX
useful	XX
to	XX
have	XX
him	XX
back	XX
and	XX
he	XX
said	XX
he	XX
would	XX
be	XX
available	XX
.	XX

I	XX
think	XX
now	XX
is	XX
the	XX
right	XX
time	XX
for	XX
him	XX
to	XX
return	XX
.	XX
"	XX

Squad	XX
:	XX
Javier	XX
Pertile	XX
,	XX
Paolo	XX
Vaccari	XX
,	XX
Marcello	XX
Cuttitta	XX
,	XX
Ivan	XX
Francescato	XX
,	XX
Leandro	XX
Manteri	XX
,	XX
Diego	XX
Dominguez	XX
,	XX
Francesco	XX
Mazzariol	XX
,	XX
Alessandro	XX
Troncon	XX
,	XX
Orazio	XX
Arancio	XX
,	XX
Andrea	XX
Sgorlon	XX
,	XX
Massimo	XX
Giovanelli	XX
,	XX
Carlo	XX
Checchinato	XX
,	XX
Walter	XX
Cristofoletto	XX
,	XX
Franco	XX
Properzi	XX
Curti	XX
,	XX
Carlo	XX
Orlandi	XX
,	XX
Massimo	XX
Cuttitta	XX
,	XX
Giambatista	XX
Croci	XX
,	XX
Gianluca	XX
Guidi	XX
,	XX
Nicola	XX
Mazzucato	XX
,	XX
Alessandro	XX
Moscardi	XX
,	XX
Andrea	XX
Castellani	XX
.	XX

-DOCSTART-	XX

SOCCER	XX
-	XX
LATE	XX
GOALS	XX
GIVE	XX
JAPAN	XX
WIN	XX
OVER	XX
SYRIA	XX
.	XX

AL-AIN	XX
,	XX
United	XX
Arab	XX
Emirates	XX
1996-12-06	XX

Two	XX
goals	XX
in	XX
the	XX
last	XX
six	XX
minutes	XX
gave	XX
holders	XX
Japan	XX
an	XX
uninspiring	XX
2-1	XX
Asian	XX
Cup	XX
victory	XX
over	XX
Syria	XX
on	XX
Friday	XX
.	XX

Takuya	XX
Takagi	XX
headed	XX
the	XX
winner	XX
in	XX
the	XX
88th	XX
minute	XX
of	XX
the	XX
group	XX
C	XX
game	XX
after	XX
goalkeeper	XX
Salem	XX
Bitar	XX
spoiled	XX
a	XX
mistake-free	XX
display	XX
by	XX
allowing	XX
the	XX
ball	XX
to	XX
slip	XX
under	XX
his	XX
body	XX
.	XX

It	XX
was	XX
the	XX
second	XX
Syrian	XX
defensive	XX
blunder	XX
in	XX
four	XX
minutes	XX
.	XX

Defender	XX
Hassan	XX
Abbas	XX
rose	XX
to	XX
intercept	XX
a	XX
long	XX
ball	XX
into	XX
the	XX
area	XX
in	XX
the	XX
84th	XX
minute	XX
but	XX
only	XX
managed	XX
to	XX
divert	XX
it	XX
into	XX
the	XX
top	XX
corner	XX
of	XX
Bitar	XX
's	XX
goal	XX
.	XX

Syria	XX
had	XX
taken	XX
the	XX
lead	XX
from	XX
their	XX
first	XX
serious	XX
